City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Atuona,85,PF,1603738920,73,-9.8,-139.03,79.14,19.33
1,Makakilo City,1,US,1603738907,83,21.35,-158.09,75.2,3.36
2,Port Lincoln,2,AU,1603739046,88,-34.73,135.87,53.98,8.32
3,Barra do Corda,100,BR,1603739046,42,-5.5,-45.25,94.98,2.89
4,Cape Town,0,ZA,1603738910,77,-33.93,18.42,68.0,11.41
5,Svetlaya,0,RU,1603739046,70,46.54,138.33,40.05,4.29
6,Olafsvik,100,IS,1603738925,79,64.89,-23.71,40.51,15.5
7,Rikitea,100,PF,1603738902,85,-23.12,-134.97,75.42,18.79
8,Jamestown,90,US,1603738935,100,42.1,-79.24,48.0,6.93
9,Chake Chake,0,TZ,1603739047,81,-5.25,39.77,76.46,6.15
10,Sehithwa,0,BW,1603739047,16,-20.47,22.72,80.49,8.52
11,Hobart,90,AU,1603738818,57,-42.88,147.33,51.8,6.93
12,Zunyi,100,CN,1603739047,86,27.69,106.91,58.89,1.14
13,Saint-Philippe,52,RE,1603738939,83,-21.36,55.77,71.6,5.82
14,Deqing,100,CN,1603739048,99,30.54,119.96,64.0,7.0
15,Albany,100,US,1603738900,82,42.6,-73.97,48.99,5.86
16,Hervey Bay,94,AU,1603738919,92,-25.3,152.85,73.99,1.01
17,Vila Franca do Campo,20,PT,1603738907,82,37.72,-25.43,68.0,19.46
18,Krk,75,HR,1603739048,77,45.03,14.57,64.0,17.22
19,Thompson,75,CA,1603738911,58,55.74,-97.86,26.6,10.29
20,São Filipe,100,CV,1603738904,70,14.9,-24.5,82.2,12.1
21,Hithadhoo,0,MV,1603738869,67,-0.6,73.08,83.16,6.89
22,Narsaq,75,GL,1603738633,28,60.92,-46.05,46.4,14.99
23,Busselton,8,AU,1603738809,74,-33.65,115.33,57.0,5.95
24,Pio XII,98,BR,1603739049,61,-3.83,-45.15,88.86,5.53
25,Ushuaia,75,AR,1603738761,53,-54.8,-68.3,51.8,17.22
26,Avarua,100,CK,1603738896,73,-21.21,-159.78,75.2,12.75
27,Saint-Augustin,86,CA,1603738926,61,51.23,-58.65,37.98,12.48
